
霧のむこうのふしぎな町,,柏葉幸子,講談社,2022,"小4,小5,小6",全部,普通,539,不思議、ファンタジー、ひとり旅,不思議の扉,ファンタジーの扉,,,,,
野尻湖のぞう,,井尻正二,福音館書店,1980,"小4,小5,小6",全部,多い,39,化石、火山、ぞう、発掘,伝記・歴史の扉,動物・昆虫の扉,自然の扉,,,,
魔法使いのチョコレート・ケーキ,,マーヒー　石井桃子・役,福音館書店,2004,"小4,小5,小6",あり,普通,181,魔法、ファンタジー,ファンタジーの扉,,,,,,
車のいろは空のいろ　白いぼうし,,あまんきみこ,ポプラ社,2022,"小4,小5,小6",,,124,ファンタジー,不思議の扉,ファンタジーの扉,,,,,
宇宙人のいる教室,,さとうまさこ,金の星社,2012,"小4,小5,小6",,,141,転校生、友達、学校,友達の扉,学校の扉,,,,,
長くつ下のピッピ,,リンドグレーン　大塚勇三・訳,岩波書店,2018,"小4,小5,小6",,,198,友達、自由、正義、ユーモア,友達の扉,ユーモアの扉,,,,,
世界でいちばん貧しい大統領のスピーチ,,くさばよしみ,汐文社,2014,"小4,小5,小6",,多い,32,世界、環境,伝記・歴史の扉,,,,,,
ルドルフとイッパイアッテナ,,斎藤洋,講談社,,"小4,小5,小6",,普通,,動物、友情,動物・昆虫の扉,友達の扉,,,,,
ひとしずくの水,,ウィック　林田康一・訳,あすなろ書房,1998,"小4,小5,小6",,多い,35,不思議、科学、自然,知識の扉,,,,,,
セロ弾きのゴーシュ,,宮沢賢治,くもん出版,1992,"小4,小5,小6",,,73,文学,文学の扉,,,,,,
チョコレート戦争,,大石真,理論社,1999,"小4,小5,小6",,,189,友達,友達の扉,,,,,,
先生のつうしんぼ,偕成社文庫,宮川ひろ,偕成社,2014,"小4,小5,小6",あり,普通,180,学校,学校の扉,,,,,,
百まいのドレス,,エスディス　石井桃子・訳,岩波書店,2006,"小4,小5,小6",,,92,差別、アメリカ,友達の扉,伝記・歴史の扉,,,,,
８本あしのゆかいな仲間　クモ,,谷本雄治,くもん出版,2005,"小4,小5,小6",あり,多い,143,昆虫,知識の扉,自然の扉,動物・昆虫の扉,,,,
本のれきし　5000年,,辻村益朗,福音館書店,1992,"小4,小5,小6",あり,多い,40,本、歴史,伝記・歴史の扉,言葉の扉,知識の扉,,,,
小さなスプーンおばさん,,プリョイセン　大塚勇三・訳,学研プラス,1978,"小4,小5,小6",,,166,ファンタジー,ファンタジーの扉,,,,,,
学校ウサギをつかまえろ,,岡田淳,偕成社,1986,"小4,小5,小6",,,149,学校、友達,動物・昆虫の扉,友達の扉,学校の扉,,,,
いのちのおはなし,,日野原重明,講談社,2007,"小4,小5,小6",,,47,いのち,生・死の扉,,,,,,
新ちゃんがないた！,,佐藤州男,文研出版,1986,"小4,小5,小6",あり,多い,150,友情,友達の扉,学校の扉,,,,,
一つの花,ポプラポケット文庫,今西祐行,ポプラ社,2005,"小4,小5,小6",全部,普通,190,戦争、平和,伝記・歴史の扉,,,,,,
こちらマガーク探偵団,,ヒルディック　蕗沢忠枝・訳,あかね書房,2003,"小4,小5,小6",あり,多い,162,探偵、ミステリー,ミステリーの扉,,,,,,
しっぽをなくしたイルカ,講談社青い鳥文庫,岩貞るみこ,講談社,2007,"小4,小5,小6",全部,普通,189,動物、イルカ、水族館、ノンフィクション,動物・昆虫の扉,,,,,,
森の王国,,竹田津実,偕成社,1996,"小4,小5,小6",あり,普通,169,自然、魚、鳥、植物、両生類,自然の扉,動物・昆虫の扉,知識の扉,,,,
みんなでつくる１本の辞書,,飯田朝子,福音館書店,2015,"小4,小5,小6",あり,多い,47,数,算数の扉,知識の扉,言葉の扉,,,,
くまのパディントン,,マイケル・ボンド　松岡享子・訳,福音館書店,2002,"小4,小5,小6",あり,普通,217,動物,ファンタジーの扉,動物・昆虫の扉,,,,,
お星さまのレール,,小林千登勢,金の星社,1994,"小4,小5,小6",,,172,戦争、引き上げ,伝記・歴史の扉,家族の扉,,,,,
ヘレン＝ケラー自伝,講談社火の鳥文庫,今西祐行,講談社,2017,"小4,小5,小6",全部,普通,221,伝記,伝記・歴史の扉,,,,,,
エジソン,講談社火の鳥文庫,崎川範行,講談社,2017,"小4,小5,小6",全部,普通,221,伝記,伝記・歴史の扉,,,,,,
岸辺のヤービ,,梨木香歩,福音館書店,2015,"小4,小5,小6",あり,多い,223,ファンタジー,ファンタジーの扉,,,,,,
富士山うたごよみ,,俵万智,福音館書店,2012,"小4,小5,小6",,多い,48,富士山、短歌、四季,言葉の扉,,,,,,
ファーブルの夏ものがたり,,マーガレット・J・アンダーソン　千葉茂樹・訳,くもん出版,1998,"小4,小5,小6",あり,多い,165,伝記、昆虫,伝記・歴史の扉,動物・昆虫の扉,,,,,
ダーウィンのミミズの研究,,新島昭夫,福音館書店,2000,"小4,小5,小6",あり,多い,40,昆虫、観察、実験,動物・昆虫の扉,自然の扉,,,,,
すぐそこに、カヤネズミ,,畠佐代子,くもん出版,2015,"小4,小5,小6",あり,多い,143,動物、自然、野生生物、共存、環境,動物・昆虫の扉,自然の扉,,,,,
チビ竜と魔法の実,,富安陽子,偕成社,2003,"小4,小5,小6",あり,多い,237,家族,家族の扉,,,,,,
せいめいのれきし,,バートン　石井桃子・訳,岩波書店,,"小4,小5,小6",,多い,,地球、歴史、,伝記・歴史の扉,自然の扉,,,,,
ドリトル先生アフリカゆき,,ロフティング　井伏鱒二・訳,岩波書店,2000,"小4,小5,小6",,,252,動物、冒険、ワクワク,冒険の扉,動物・昆虫の扉,,,,,
注文の多い料理店,青い鳥文庫,宮沢賢治,講談社,2008,"小4,小5,小6",,,216,文学,文学の扉,恐怖の扉,動物の扉,文学の扉,,,
空気がなくなる日,,岩倉政治,ポプラ社,1978,"小4,小5,小6",,多い,35,不思議、科学、友達,友達の扉,不思議の扉,,,,,
ヘンダワネのタネの物語,,新藤悦子,ポプラ社,2012,"小4,小5,小6",あり,普通,163,友達、植物,友達の扉,,,,,,
さよならエルマおばあさん,,大塚敦子,小学館,2000,"小4,小5,小6",,,59,死、がん告知、写真,生・死の扉,,,,,,
ぼくは、いつでもぼくだった,,いっこく堂,くもん出版,2012,"小4,小5,小6",全部,普通,141,友達、沖縄、アメリカ,学校の扉,伝記・歴史の扉,友達の扉,,,,
マジックツリーハウス①恐竜の谷の冒険,,オズボーン,メディアファクトリー,,"小4,小5,小6",,,,,ファンタジーの扉,知識の扉,,,,,
地球の声に耳をすませて,,大木聖子,くもん出版,2011,"小4,小5,小6",,,143,地震、津波,自然の扉,,,,,,
キャプテンはつらいぜ,,後藤竜二,講談社,2006,"小4,小5,小6",,,188,野球、スポーツ、友情,友達の扉,,,,,,
生物の消えた島,,田川日出夫,福音館書店,1987,"小4,小5,小6",,,31,自然、環境、生物,自然の扉,動物・昆虫の扉,,,,,
大造じいさんとガン,,椋鳩十,偕成社,1978,"小4,小5,小6",,多い,266,自然、鳥,動物・昆虫の扉,自然の扉,,,,,
くろて団は名探偵,,ハンス・ユルゲン・プレス,岩波書店,,,,多い,,推理、ミステリー,ミステリーの扉,,,,,,
