世界文学の森 たから島,,ロバート・Ｌ・スチーブンソン,集英社,1994,中学年,あり,あり,144,冒険,冒険の扉,文学の扉,,,無人島に埋められているという財宝を求めて、広い海へと乗りだしたジム少年。次つぎと起こる大事件。スリルあふれる大冒険物語！,,
世界文学の森 トム・ソーヤの冒険,,マーク・トゥエイン,集英社,1994,中学年,あり,あり,144,"冒険,友達",冒険の扉,文学の扉,,,いたずら好きな、わんぱく少年トム・ソーヤが、仲良しのハックといっしょに、森の中を駆け回り、いろいろな冒険を繰り広げる。,,
世界文学の森 シャーロック・ホームズの冒険,,アーサー・C・ドイル,集英社,1994,中学年,あり,あり,144,ミステリー,冒険の扉,文学の扉,,,イギリスの名探偵シャーロック・ホームズが、助手のワトソン博士とともに、見事な観察力と推理で次々と難事件を解決していく。,,
世界文学の森 ロビンソン・クルーソー,,ダニエル・デフォー,集英社,1994,中学年,あり,あり,144,冒険,冒険の扉,文学の扉,,,嵐の海に投げ出されて無人島に流れついたロビンソンは、たった1人の生活をはじめることに。知恵と勇気で生きぬいた男の冒険物語。,,
世界文学の森 シートン動物記,,アーネスト・T・シートン,集英社,1994,中学年,あり,あり,144,"動物,生き物",知識の扉,伝記・歴史の扉,文学の扉,,コランポー平原に強い王様が住んでいた。その名はロボ。大きなオオカミだった。野生のオオカミと人間たちとの息づまる戦いを描く。,,
世界文学の森 ファーブル昆虫記,,アンリ・ファーブル,集英社,1994,中学年,あり,あり,144,"動物,生き物",動物・植物の扉,文学の扉,,,自然を愛し、虫たちとともに一生を送ったファーブルは、どうして昆虫に興味をもったのか、観察記録とファーブル自伝を併せて描く。,,
世界文学の森 ああ無常,,ビクトル・ユゴー,集英社,1994,中学年,あり,あり,144,"生きる,人生",友達の扉,家族の扉,文学の扉,,わずかなパンを盗んだために、囚人となったジャン・バルジャンの数奇な運命を描いた名作。原題『レ・ミゼラブル』でも有名。,,
世界文学の森 きょうりゅうの世界,,アーサー・C・ドイル,集英社,1994,中学年,あり,あり,144,"冒険,SF",冒険の扉,文学の扉,伝記・歴史の扉,,恐竜の存在を確かめるため、チャレンジャー教授とその一行は南アメリカ奥地へ探検に出かける。探検隊がそこで見たものは…？,,
世界文学の森 十五少年漂流記,,ジュール・ベルヌ,集英社,1994,中学年,あり,あり,144,"冒険,友情",冒険の扉,文学の扉,,,嵐にあって無人島に漂着した、8歳から14歳の少年たち15人は、力を合わせて、次から次へとおそいかかる困難を乗り越えていく。,,
世界文学の森 三国志,,羅　貫中,集英社,1994,中学年,あり,あり,144,歴史,伝記・歴史の扉,文学の扉,,,およそ1800年前の中国で、力をきそいあった英雄たち。人々が幸せに暮らせる国を作るために、劉備と関羽・張飛たちが活躍する。,,
世界文学の森 ギリシア神話,,トマス・ブルフィンチ,集英社,1994,中学年,あり,あり,144,神話,神話・昔話の扉,文学の扉,,,人間や動物は、誰が作り、花や星はどうやってできたのか…。文字ができる前から、ずっと語り伝えられてきたギリシアの神々の物語,,
世界文学の森 シンドバッドの冒険,,アラビアン・ナイトより,集英社,1994,中学年,あり,あり,144,冒険,冒険の扉,文学の扉,,,宝石がいっぱいの宝島、おそろしい巨人の住む島など、アラビアの船乗りシンドバッドは、見たこともない、7つの国ぐにを大冒険。,,
世界文学の森 三銃士,,アレクサンドル・デュマ,集英社,1994,中学年,あり,あり,144,友情,冒険の扉,文学の扉,,,銃士にあこがれてパリまでやってきたダルタニャンは、明るく爽やかな18歳。三銃士たちと心を一つにして王や王妃のために大活躍。,,
世界文学の森 ジキルとハイド,,ロバート・Ｌ・スチーブンソン,集英社,1994,中学年,あり,あり,144,ドキドキ,ミステリーの扉,文学の扉,,,温厚で人格者のジキル博士と、下劣な男ハイド氏。二人はどんな関係があるのか？　善と悪、二つの顔をもった男のたどる運命とは。,,
世界文学の森 透明人間,,H.G.ウェルズ,集英社,1994,中学年,あり,あり,144,ドキドキ,ミステリーの扉,文学の扉,,,誰もが一度は願う「透明人間」。その研究に成功した科学者が、世界征服の野望にとりつかれてしまい…。はらはら、ドキドキの名作。,,
世界文学の森 名犬ラッシー,,エリック・Ｍ・ナイト,集英社,1994,中学年,あり,あり,144,"動物,生き物",動物・植物の扉,文学の扉,,,少年ジョンと子犬のラッシーは大の仲良し。ところが、ある事情で離ればなれになってしまい…。ラッシーの長い旅がはじまる。,,
世界文学の森 王子とこじき,,マーク・トウェイン,集英社,1994,中学年,あり,あり,144,ワクワク,文学の扉,友達の扉,,,こじきのトムと王子様が、ある日入れかわることに。豪華な宮殿の窮屈な暮らしと、貧しくても自由な町暮らし。本当に楽しいのはどっち?,,
世界文学の森 オズのまほうつかい,,ライマン・F・バウム,集英社,1994,中学年,あり,あり,144,"ふしぎ,冒険",冒険の扉,ファンタジーの扉,文学の扉,,オズの国に迷いこんだドロシーは、大王に会うためにブリキの木こり、おくびょうなライオン、かかしたちと長い冒険の旅に出かける。,,
世界文学の森 ふしぎの国のアリス,,ルイス・キャロル,集英社,1994,中学年,あり,あり,144,"ふしぎ,冒険",冒険の扉,ファンタジーの扉,文学の扉,,チョッキを着たウサギを追いかけて穴に飛びこんだアリス。そこは、トランプの女王やおかしな動物たちがいっぱいの不思議な国だった。,,
トットちゃんとトットちゃんたち,,黒柳徹子,講談社,2016,中学年,なし,少なめ,330,ノーフィクション,学校の扉,友達の扉,,,黒柳徹子さんがユニセフの親善大使として訪れた、飢餓や戦火、災害、貧困に苦しむ国々。そこで出会った忘れえぬ子どもたち……。私たちがあたりまえと思うことが、けしてあたりまえでない世界の現実。ここに書かれていることは、とてもつらく、せつないけれど、あなたに知っておいてもらいたいことです。,,
続窓ぎわのトットちゃん,,黒柳徹子,講談社,2023,中学年,少なめ,少なめ,253,ノーフィクション,学校の扉,友達の扉,,,国内で800万部、全世界で2500万部を突破した『窓ぎわのトットちゃん』の続編。世界中で愛されている、あのトットちゃんが帰ってくる!　東京大空襲の数日後、青森を目指して、ひとり夜行列車に乗ったトットを待ち受けていた試練とは?,,
「国境なき医師団」の僕が世界一過酷な場所で見つけた命の次に大事なこと「,,村田慎二朗,サンマーク出版,2023,中学年,なし,なし,232,日本、世界、気軽に読める,知識の扉,生・死の扉,,,人生でもっとも大切な「命の使い方」とは？　スーダン、シリア、イラク、イエメン……人道支援の現場１０年、国際人道援助の最前線で著者が目の当たりにしてきた紛争地でのエピソードと、生きる上で重要な命の使い方について解説していきます。,,
希望の図書館,,リサ・クライン・ランサム,ポプラ社,2024,中学年,あり,なし,203,世界、元気になれる、勇気がわく,友達の扉,伝記・歴史の扉,,,新しく越してきたシカゴの町で、大きな図書館をみつけた少年ラングストン。そこは、すべての人が自由に入れる図書館だった…。,,
モモ,,ミヒャエル・エンデ,岩波書店,2005,中学年,あり,あり,399,"不思議,友達",ファンタジーの扉,不思議の扉,,,時間どろぼうと，ぬすまれた時間を人間にとりかえしてくれた女の子モモのふしぎな物語．時間の真の意味を問う，エンデの名作．,,
ごんぎつね,,新美南吉,偕成社,1994,低学年,,多い,35,動物,動物・植物の扉,生・死の扉,,,いたずらばかりしているきつねのごんは、兵十のたいせつなうなぎを盗んでしまいます。その後、ごんは兵十のために罪のつぐないをするのですが・・・。,,
狂言えほん　ぶす,,内田麟太郎,ポプラ社,2007,低学年,全部,多い,36,狂言、笑い話,ユーモアの扉,言葉の扉,,,大人気の内田麟太郎、長谷川義史による夢のコラボレーション！　つぼの中には、黒くてどろりとした「ぶす」が・・・・・・その正体とは！？,,
じごくのそうべえ,,たじまゆきひこ,童心社,1978,低学年,,多い,40,,恐怖の扉,ユーモアの扉,,,綱わたりの最中に、綱から落ちてしまった軽業師のそうべえ。気がつくと、そこ は地獄。ふんにょう地獄や、針の山、熱 湯の釜になげこまれ、人を食べる人呑鬼にのみこまれます。そうべえたちははたして生き返ることができるのか、あとは読んでのお楽しみ。,,
島ひきおに,,山下明生,偕成社,1995,低学年,全部,多い,31,鬼、絵本、悲しい、寂しい、友達,友達の扉,,,,人間と暮らしたいと住みかの島をひっぱって鬼が村へやってきましたが、こわがって誰も遊びません。鬼は再び島をひいて歩きます。,,
グリム童話集,,グリム　矢崎源九郎・訳,偕成社,1980,低学年,あり,普通,431,童話,ファンタジーの扉,文学の扉,知識の扉,,一八一二年から刊行され、一八五七年の第七版で完成をみたグリム兄弟の童話集を完全訳で贈る。第１巻には「カエルの王さま」「オオカミと七ひきの子ヤギ」「赤ずきん」など名作36編を収録する。,,
